N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"61,300",500,-0.81%,100,"3,659,477","5,969,783",49.78,"10,235,096",9.62,13.92,
2,LG에너지솔루션,"382,000","8,500",-2.18%,500,"893,880","234,000",3.26,"299,228",121.73,10.68,
3,SK하이닉스,"100,000","2,500",-2.44%,"5,000","728,002","728,002",49.91,"3,101,759",6.87,16.84,
4,삼성바이오로직스,"829,000","12,000",+1.47%,"2,500","590,032","71,174",10.71,"55,916",115.75,8.21,
5,삼성전자우,"56,200",500,-0.88%,100,"462,462","822,887",72.16,"611,809",8.82,N/A,
6,NAVER,"250,000",500,-0.20%,100,"410,123","164,049",53.31,"464,859",30.40,106.72,
7,현대차,"191,000","2,000",+1.06%,"5,000","408,106","213,668",26.93,"1,371,361",10.17,6.84,
8,LG화학,"561,000","8,000",-1.41%,"5,000","396,023","70,592",47.85,"160,638",14.39,18.47,
9,삼성SDI,"568,000","1,000",+0.18%,"5,000","390,583","68,765",42.84,"142,584",28.72,8.45,
10,기아,"80,900","1,100",-1.34%,"5,000","327,939","405,363",36.20,"2,159,258",6.89,14.69,
11,카카오,"72,100","1,600",-2.17%,100,"320,808","444,948",28.80,"1,583,094",12.99,17.10,
12,셀트리온,"179,500","3,000",-1.64%,"1,000","252,678","140,768",20.74,"213,670",50.06,16.04,
13,삼성물산,"117,000","1,000",-0.85%,100,"218,658","186,887",16.38,"170,058",16.64,5.40,
14,현대모비스,"218,500","1,000",-0.46%,"5,000","206,642","94,573",34.17,"186,463",9.11,6.87,
15,POSCO홀딩스,"234,000","1,000",-0.43%,"5,000","204,017","87,187",53.01,"167,605",2.79,13.97,
16,KB금융,"47,750",900,-1.85%,"5,000","196,898","412,352",72.81,"1,371,979",4.32,9.80,
17,신한지주,"35,650",200,-0.56%,"5,000","182,861","512,934",61.90,"1,188,127",4.50,8.80,
18,SK이노베이션,"178,500","4,500",-2.46%,"5,000","165,051","92,466",25.39,"290,032",11.34,1.91,
19,SK,"214,000","2,000",-0.93%,200,"158,680","74,149",22.07,"95,415",5.22,10.19,
20,LG전자,"93,500",700,-0.74%,"5,000","153,011","163,648",26.75,"360,383",13.42,6.32,
21,카카오뱅크,"30,900",400,-1.28%,"5,000","147,182","476,317",12.57,"902,467",62.55,4.91,
22,한국전력,"21,650",100,-0.46%,"5,000","138,985","641,964",14.67,"561,108",-1.22,-7.99,
23,크래프톤,"258,000",500,-0.19%,100,"126,606","49,072",29.15,"150,761",21.22,17.86,
24,LG,"78,300",700,+0.90%,"5,000","123,167","157,301",35.90,"169,250",4.43,12.36,
25,삼성생명,"59,600",0,0.00%,500,"119,200","200,000",13.24,"143,030",18.31,4.01,
26,HMM,"24,100",200,-0.82%,"5,000","117,859","489,039",9.16,"1,553,393",1.24,88.62,
27,두산에너빌리티,"17,800",0,0.00%,"5,000","113,619","638,308",10.02,"2,340,077",26.69,10.67,
28,SK텔레콤,"51,800",300,-0.58%,100,"113,356","218,833",48.21,"402,866",7.70,13.63,
29,LG생활건강,"723,000","1,000",+0.14%,"5,000","112,920","15,618",38.01,"42,672",18.32,16.65,
